"title","year","length","rating","genre"
"1,99 - Um Supermercado Que Vende Palavras","2003","72","4.9","Comedy"
"1-2-3-4 ou Les Collants noirs","1960","125","7.3","Drama"
"01-02-00","1986","48","8.1","Documentary"
"10","1979","122","5.7","Comedy"
"10 Magnificent Killers","1977","84","2.6","Action"
"10 Rillington Place","1971","111","7.2","Drama"
"09-30-00","1998","10","7.3","Short"
"10 Things I Hate About You","1999","97","6.7","Comedy"
"10 Violent Women","1982","95","3.8","Action"
"10 from Your Show of Shows","1973","92","8.6","Comedy"
"10 jaar leuven kort","2004","240","7.9","Drama"
"10 on Ten","2004","88","5.9","Documentary"
"09-30-00","2003","6","6.1","Short"
"10 to Midnight","1983","101","5.4","Action"
"10.7","1997","28","8.8","Short"
"11-30-99","1991","161","5.8","Romance"
"11-30-99","2001","100","6.2","Drama"
"11-30-99","2000","90","5.8","Comedy"
"100 Mile Rule","2002","98","5.6","Comedy"
"100.0 Pro","2001","88","5.5","Comedy"
"11-30-99","1997","94","3.3","Drama"
"100 Years at the Movies","1994","9","9.2","Documentary"
"100 minuta slave","2004","100","5.9","Drama"
"1000 Boomerangs","1995","101","4.6","Drama"
"1000 Convicts and a Woman","1971","92","6.1","Drama"
"11-30-99","1994","95","5.1","Drama"
"1000 Shapes of a Female","1963","79","2.2","Comedy"
"10000th Day, The","1997","18","8","Short"
"1001 Arabian Nights","1959","75","5.2","Animation"
"11-30-00","1998","23","7.3","Short"
"1001 nuits, Les","1990","98","5.1","Drama"
"101","1989","117","7.8","Documentary"
"101 Dalmatians","1996","103","5.5","Comedy"
"101 Rent Boys","2000","78","6.3","Documentary"
"101 Ways (The Things a Girl Will Do to Keep Her Volvo)","2000","100","5.5","Comedy"
"101-vy kilometer","2001","103","5.8","Drama"
"101byeonjae propose","1993","112","5.2","Comedy"
"102 Dalmatians","2000","100","4.7","Comedy"
"10.0000000","2000","14","6","Short"
"10:30 P.M. Summer","1966","85","6.2","Drama"
"10e chambre - Instants d'audience","2004","105","7.4","Documentary"
"11 Harrowhouse","1974","94","6","Comedy"
"11 Uhr 59","2000","11","8.4","Short"
"11 commandements, Les","2004","85","4.7","Comedy"
"11'09''01 - September 11","2002","134","6.9","Drama"
"11.0:14","2003","95","7.1","Comedy"
"12.0 + 1","1969","94","5.5","Comedy"
"12 Angry Men","1957","96","8.7","Drama"
"12.0 B","2001","150","5.2","Drama"
"11-30-00","1998","86","5.1","Drama"
"12 Hot Women","2003","4","5.2","Comedy"
"12 Stops on the Road to Nowhere","1999","18","7.2","Comedy"
"11-30-00","2001","89","6.2","Comedy"
"11-30-00","1956","55","8.5","Animation"
"11-30-00","1971","161","8.9","Comedy"
"120 Tage von Bottrop, Die","1997","60","2.4","Comedy"
"125 rue Montmartre","1959","85","5.2","Drama"
"0:00","1990","25","7.4","Short"
"12.0:35","2002","92","8.2","Drama"
"13 Dead Men","2003","85","2.2","Action"
"13 Going On 30","2004","98","6.4","Comedy"
"12-13-99","2004","135","9","Documentary"
"12-13-99","2002","93","5.6","Comedy"
"13 West Street","1962","80","6.3","Drama"
"13.0 jul","1982","110","6.4","Drama"
"13th Warrior, The","1999","102","6.1","Action"
"14 Carrot Rabbit","1952","7","7.2","Animation"
"14 Million Dreams","2003","52","8.3","Drama"
"12-14-99","1985","83","3.6","Drama"
"01-14-00","1998","27","7","Short"
"1492: Conquest of Paradise","1992","154","6","Drama"
"14e kippetje, Het","1998","88","5.5","Comedy"
"15","2003","90","6.4","Comedy"
"12-15-99","1998","92","6.5","Drama"
"12-15-99","1999","25","4.8","Comedy"
"12-15-99","2001","120","6.1","Drama"
"15' zondergrond","2000","20","6.4","Short"
"15-Sai: Gakko IV","2000","120","5.5","Drama"
"15.35: spoor 1","2003","74","5.6","Drama"
"16 Days of Glory","1985","145","7.7","Documentary"
"12-16-99","2002","158","7.3","Action"
"12/18/19 19:00","1967","6","5.5","Short"
"16060","1995","86","6.7","Drama"
"17 Seconds to Sophie","1998","1","5.1","Documentary"
"17 and Under","1998","107","4.1","Drama"
"17 rue Bleue","2001","95","5.7","Drama"
"1776","1972","180","7.3","Drama"
"17th Man, The","2004","23","7.6","Short"
"12-18-99","1988","93","4.8","Comedy"
"18 Shades of Dust","1999","87","4.5","Drama"
"18 Weapons of Kung Fu","1977","89","2","Action"
"18 anni tra una settimana","1991","98","5.9","Drama"
"18.0-j","2004","100","8.5","Drama"
"1860","1934","80","7","Drama"
"1871","1990","100","4.2","Drama"
"187: Documented","1997","58","3","Drama"
"1895","1995","30","7.8","Animation"
"19","2000","82","7","Drama"
"12-19-99","2002","77","5.3","Comedy"
"1900","1976","245","7.5","Drama"
"1918","1985","94","5.8","Drama"
"1919","1985","99","5","Drama"
"1919","1997","8","6.2","Short"
"1925 Studio Tour","1925","32","8.2","Documentary"
"1939","1989","193","5.7","Drama"
"1941","1941","7","7.9","Short"
"1941","1979","146","5.6","Comedy"
"1942: A Love Story","1993","157","6.5","Action"
"1952: Ivan i Aleksandra","1989","80","7.3","Drama"
"1955 Motion Picture Theatre Celebration","1955","18","4.6","Documentary"
"1958","1980","96","5.9","Action"
"1969","1988","95","5.3","Drama"
"1974","2000","8","4.4","Animation"
"1974, une partie de campagne","1974","90","7.6","Documentary"
"1984","1956","90","6.9","Drama"
"1990: I guerrieri del Bronx","1982","89","3.9","Action"
"1991: The Year Punk Broke","1992","99","6.9","Documentary"
"1999","1998","92","5.3","Drama"
"1999 - Nen no natsu yasumi","1988","90","6.5","Drama"
"11-30-98","1999","86","5.6","Comedy"
"2 A.M. in the Subway","1905","1","5.2","Comedy"
"2 Birds with 1 Stallone","2002","76","1.5","Drama"
"2 Days in the Valley","1996","104","6.4","Drama"
"01-31-00","1997","90","6.5","Drama"
"2 Fast 2 Furious","2003","107","5.1","Action"
"2 G's & a Key","2000","97","4.4","Action"
"2 Little, 2 Late","1999","87","6.5","Comedy"
"2 deputati, I","1968","95","6.9","Comedy"
"01-31-00","2001","8","6.9","Short"
"2 or 3 Things But Nothing for Sure","1997","12","7.2","Documentary"
"2 ou 3 choses que je sais d'elle","1967","90","6.7","Drama"
"2 ryk og 1 aflevering","2003","96","5.5","Comedy"
"01-31-00","1998","100","6.8","Comedy"
"2.0+1","2004","28","8.2","Comedy"
"01-31-00","2000","25","5.5","Short"
"12-20-99","1998","87","5.4","Comedy"
"12-20-99","2004","74","6.7","Drama"
"20,000 Cheers for the Chain Gang","1933","20","6.5","Comedy"
"20,000 Leagues Under the Sea","1916","105","6.2","Action"
"20,000 Years in Sing Sing","1932","78","7","Drama"
"12-20-19","1999","20","1","Comedy"
"11-30-99","2003","84","5.4","Romance"
"200 Cigarettes","1999","101","5.4","Comedy"
"11-30-99","1971","98","5.2","Comedy"
"11-30-99","2000","70","7.9","Documentary"
"2000 Years Later","1969","80","4.4","Comedy"
"20000 Leagues Under the Sea","1954","127","7.1","Drama"
"11-30-00","1999","99","3.1","Action"
"2001: A Space Travesty","2000","99","2.5","Comedy"
"2002: The Rape of Eden","1994","90","4","Action"
"2009: Lost Memories","2002","136","6.6","Action"
"2010: The Odyssey Continues","1984","18","5.8","Documentary"
"2019 - Dopo la caduta di New York","1983","91","5.3","Action"
"11-30-02","1980","185","6.8","Drama"
"2046","2004","129","7.6","Drama"
"2084","1984","10","6.4","Documentary"
"20:30","2004","113","7.1","Comedy"
"20h17 rue Darling","2003","101","6.3","Drama"
"21","2000","105","6","Comedy"
"12-21-99","2003","124","8","Drama"
"21.0-87","1964","10","6.1","Short"
"21st Century Jet: The Building of the 777","1996","285","7.6","Documentary"
"06-22-97","1979","121","6","Drama"
"23","1998","100","7.2","Drama"
"23 -- Skidoo","1930","10","4.8","Comedy"
"237","2000","12","4.3","Short"
"24","2002","91","7.4","Drama"
"24 7: Twenty Four Seven","1997","96","6.7","Comedy"
"24 Hour Party People","2002","117","7.2","Comedy"
"24 Hour Woman, The","1999","93","5.6","Comedy"
"12-24-99","1999","97","6.3","Comedy"
"12-24-99","2000","86","6","Drama"
"24 heures de la vie d'une femme","2002","107","5.6","Drama"
"24 horas de placer","1969","95","8.1","Comedy"
"12-24-99","1999","8","5.9","Comedy"
"1/?","2001","11","4.8","Short"
"24.0fps","2000","6","4.8","Short"
"12-25-99","2001","92","7","Comedy"
"25 Ways to Quit Smoking","1989","5","7.2","Animation"
"25th Hour","2002","135","7.8","Drama"
"26 Summer Street","1996","17","4.7","Short"
"27 Missing Kisses","2000","98","6.6","Comedy"
"27.0A","1974","86","5","Drama"
"12-28-99","2000","103","6","Drama"
"28 oktovriou, ora 5:30","1971","90","6.2","Drama"
"12-29-99","2002","93","4.7","Comedy"
"29th Street","1991","101","6.9","Comedy"
"2BPerfectlyHonest","2004","88","7.3","Comedy"
"2.0by4","1998","90","6.4","Drama"
"3","1971","86","6","Drama"
"3.0 AM","2003","22","4.8","Short"
"3 Chinesen mit dem Kontrabass","2000","88","6.5","Comedy"
"3 Days of Rain","2002","98","5.8","Drama"
"3 Dumb Clucks","1937","17","7.1","Comedy"
"3 Feet Under: Digging Deep for the Geoduck","2003","63","7","Documentary"
"3 Godfathers","1948","106","6.9","Drama"
"3 Men and a Little Lady","1990","104","4.5","Comedy"
"3 Minute Wonder","2000","3","4.3","Short"
"02-29-00","1998","11","7.2","Animation"
"02-29-00","1992","98","4","Action"
"3 Ninjas Kick Back","1994","93","3.5","Action"
"3 Ninjas Knuckle Up","1995","85","2.9","Action"
"3 Ninjas: High Noon at Mega Mountain","1998","93","2.2","Action"
"3 Nuts in Search of a Bolt","1964","78","5.2","Comedy"
"3 Ring Circus","1954","103","5.6","Comedy"
"3 Ring Wing-Ding","1968","6","6.3","Animation"
"02-29-00","2000","82","3.7","Comedy"
"3 Tage 44","2000","21","5","Short"
"02-29-00","1977","124","7.7","Drama"
"3 Worlds of Gulliver, The","1960","100","6","Animation"
"3 dev adam","1973","81","5.2","Action"
"3 hommes et un couffin","1985","106","6.6","Comedy"
"3-4x juugatsu","1990","96","6.6","Action"
"3.0-Way","2004","88","4.6","Drama"
"12-30-99","1999","87","4.2","Comedy"
"30 Foot Bride of Candy Rock, The","1959","75","4.6","Comedy"
"30 Frames a Second: The WTO in Seattle","2000","73","5.4","Documentary"
"30 Is a Dangerous Age, Cynthia","1968","85","4.8","Comedy"
"30 Years of Fun","1963","85","6.7","Comedy"
"30 Years to Life","2001","110","5.1","Comedy"
"30 panen a Pythagoras","1977","68","2.5","Comedy"
"30, Still Single: Contemplating Suicide","1998","91","7.1","Comedy"
"300 Spartans, The","1962","114","6.4","Drama"
"3000 Miles to Graceland","2001","125","5.4","Action"
"30:e november","1995","116","3.9","Drama"
"31","2003","27","2.8","Short"
"322","1969","95","6","Drama"
"34-y skoryy","1981","83","7.3","Action"
"11-30-34","1995","27","6.6","Comedy"
"35 Miles from Normal","1997","99","6.6","Drama"
"11-30-35","1953","80","5.7","Drama"
"11-30-35","1988","88","6","Drama"
"36 ore all'inferno","1969","93","3.7","Action"
"365 Nights in Hollywood","1934","77","5.8","Comedy"
"37 og et halvt","2005","101","5.6","Comedy"
"39 Pounds of Love","2005","70","7.6","Documentary"
"39 Steps, The","1935","86","8","Drama"
"39 Steps, The","1959","93","6.6","Drama"
"3.0:15","1986","86","4.5","Action"
"3.0:am","2005","21","8.8","Short"
"3.0D","2000","24","6","Short"
"3azima","2003","5","5","Drama"
"3rd Voice, The","1960","79","7.3","Drama"
"4","2004","126","6.3","Drama"
"4 Artists Paint 1 Tree: A Walt Disney 'Adventure in Art'","1964","16","6.9","Documentary"
"03-31-00","1970","97","7.9","Comedy"
"03-31-00","1928","97","8.7","Drama"
"4 Inyong shiktak","2003","123","5.7","Drama"
"4 Little Girls","1997","102","7.5","Documentary"
"4 P.M.","2000","15","5.5","Drama"
"4 Second Delay","1998","26","6.1","Drama"
"4 a.m.: Open All Night","1999","15","6","Short"
"4 aventures de Reinette et Mirabelle","1987","99","7.6","Comedy"
"4 for Texas","1963","124","5.3","Comedy"
"4 maneras de tapar un hoyo","1995","8","8.2","Animation"
"4 marmittoni alle grandi manovre","1974","90","3.7","Comedy"
"4 saisons d'Espigoule, Les","1999","97","6.5","Comedy"
"4.0 x 4","1965","105","5.6","Drama"
"40","2002","12","5.7","Short"
"11-30-39","1973","110","6","Comedy"
"40 Days and 40 Nights","2002","96","5.4","Comedy"
"40 Days of Musa Dagh","1982","143","7.5","Drama"
"40 Guns to Apache Pass","1967","95","5.8","Romance"
"40 Pounds of Trouble","1962","106","6.3","Comedy"
"40 Quadratmeter Deutschland","1986","80","7.3","Drama"
"40 gradi all'ombra del lenzuolo","1976","100","4.7","Comedy"
"40 grados a la sombra","1967","90","5.5","Comedy"
"400 Million, The","1939","52","5","Documentary"
"405","2000","11","6.9","Action"
"420","2004","116","8.3","Comedy"
"42.0K","2000","90","5.1","Action"
"42nd Street","1933","89","7.5","Drama"
"42nd. Street Special, The","1933","6","6.2","Documentary"
"43: The Richard Petty Story","1974","83","6.4","Drama"
"47 morto che parla","1950","95","7.6","Comedy"
"48 Hrs.","1982","96","6.8","Action"
"491","1964","88","6.2","Drama"
"49th Man, The","1953","73","6.2","Drama"
"49th Parallel","1941","104","7.7","Drama"
"4D Man","1959","85","5.2","Action"
"4th Tenor, The","2002","97","4.2","Comedy"
"5 Against the House","1955","84","6.2","Drama"
"5 Branded Women","1960","118","5.2","Drama"
"5 Card Stud","2002","96","8.3","Romance"
"5 Dark Souls","1996","94","7.3","Action"
"04-30-00","1952","108","7.6","Drama"
"5 Millionen suchen einen Erben","1938","85","6.5","Comedy"
"5 Steps to Danger","1957","81","5.6","Drama"
"5 de chocolate y 1 de fresa","1968","85","4.3","Comedy"
"50 First Dates","2004","99","6.8","Comedy"
"50 Ways to Leave Your Lover","2004","95","6.8","Comedy"
"50,000 B.C. (Before Clothing)","1963","75","3.4","Comedy"
"1/?","1982","87","4","Drama"
"500 Years Later","2005","106","9.3","Documentary"
"500.0!","2001","92","6.4","Comedy"
"50.0CC","2000","41","5.9","Action"
"51.0 Bar","1985","95","8.7","Drama"
"51st State, The","2001","92","6.1","Action"
"52 Pick-Up","1986","110","5.9","Action"
"52nd Street","1937","80","7","Drama"
"54","1998","100","5.4","Drama"
"55 Days at Peking","1963","150","6.6","Drama"
"5th Ave Girl","1939","83","6.6","Comedy"
"5th World","2005","75","5.2","Drama"
"5.0x2","2004","90","6.6","Drama"
"6 Day Bike Rider","1934","69","6.7","Comedy"
"6 Miles of 8 Feet","1999","22","7.9","Short"
"05-31-00","2004","85","4.3","Drama"
"11-30-32","1964","103","6.2","Drama"
"64,000,000 Years Ago","1981","11","6.7","Animation"
"65, 66 och jag","1936","89","5.3","Comedy"
"66 scener fra Amerika","1982","43","5.3","Documentary"
"666 mo gui fu huo","1996","100","5.3","Action"
"11-30-80","2001","90","7.1","Comedy"
"69","1968","5","5.1","Short"
"69 - Sixtynine","1969","98","5.8","Drama"
"6.0ix","1999","11","5.5","Comedy"
"6th Day, The","2000","123","5.9","Action"
"7 Days In September","2002","94","7.9","Documentary"
"7 Lucky Ninja Kids","1989","90","4.8","Action"
"7 Star Grand Mantis","1983","85","3.1","Action"
"7 Wise Dwarfs","1941","4","6","Animation"
"06-30-00","1966","87","6.2","Drama"
"7 Year Zig Zag","2003","90","6","Drama"
"06-30-00","2004","95","5","Comedy"
"7 ans de mariage","2003","97","6.3","Comedy"
"7 fois... par jour","1971","98","3.4","Comedy"
"7 jin gong","1994","","5.4","Action"
"7 pra-jan-barn","2002","110","4.8","Action"
"7, Hyden Park: la casa maledetta","1985","96","4.7","Drama"
"71 Fragmente einer Chronologie des Zufalls","1994","95","6.6","Drama"
"711 Ocean Drive","1950","102","7","Drama"
"72 Desperate Rebels","1972","93","3.3","Action"
"72 Faced Liar","2003","15","7","Short"
"11-30-71","2004","100","6","Action"
"7337","2000","17","3.9","Short"
"76-89-03","2000","85","6.6","Comedy"
"11-30-77","1985","4","7.9","Animation"
"79 primaveras","1969","25","6.2","Documentary"
"7th Dawn, The","1964","123","5.3","Drama"
"7th Street","2003","72","7","Documentary"
"7th Voyage of Sinbad, The","1958","88","6.9","Action"
"8 Ball Bunny","1950","7","7.4","Animation"
"8 Heads in a Duffel Bag","1997","94","4.8","Comedy"
"07-31-00","2002","110","6.8","Drama"
"8 Million Ways to Die","1986","115","4.9","Action"
"07-31-00","1994","105","5.9","Drama"
"07-31-00","2002","111","7.1","Comedy"
"8 to 4","1981","77","5.8","Comedy"
"80 Steps to Jonah","1969","107","5.1","Drama"
"80's Ending","2003","9","8.3","Comedy"
"11-30-99","1963","113","5.5","Drama"
"11-30-99","2002","124","6.5","Comedy"
"84 Charing Cross Road","1987","100","7.3","Drama"
"89 mm od Europy","1994","12","7.8","Documentary"
"8.0cht","1997","7","3.7","Short"
"08-31-00","2002","100","6.2","Romance"
"08-31-00","2004","71","5.2","Drama"
"08-31-00","2003","120","7.5","Drama"
"9 dney odnogo goda","1961","120","7.8","Drama"
"09-30-55","1977","101","6.7","Drama"
"9/64: O Tannenbaum","1964","3","8.2","Short"
"90","2005","14","","Short"
"90 Day Wondering","1956","6","7.1","Animation"
"11-30-89","2001","75","7.4","Documentary"
"11-30-99","2001","72","5.1","Documentary"
"901: After 45 Years of Working","1990","29","7.1","Documentary"
"91:an Karlsson muckar (tror han)","1959","90","4.5","Comedy"
"91:an Karlssons bravader","1951","88","3.6","Comedy"
"91:an och generalernas fnatt","1977","101","2.3","Comedy"
"92 hak mooi gwai dui hak mooi gwai","1992","100","5.9","Action"
"92 in the Shade","1975","93","5.9","Comedy"
"9413","1998","90","6.3","Action"
"97 ga yau choi si","1997","90","4.7",""
"11-30-75","1997","42","1.8","Comedy"
"99 Euro Films","2002","79","6.1","Drama"
"99 River Street","1953","83","7","Drama"
"99 Threadwaxing","1998","13","4","Drama"
"11-30-98","1969","108","5.6","Action"
"999 Aliza Mizrahi","1967","104","7.1","Comedy"
"9.0000000","2004","13","7.1","Short"
"9mm of Love","2000","10","6.7","Comedy"
"A","1998","136","5.1","Documentary"
"A","2002","60","2.3","Documentary"
"A & P","1996","17","5.6","Drama"
"A + (Amas)","2004","104","5.2","Comedy"
"A 008, operazione Sterminio","1965","84","6.1","Action"
"A 11-a porunca","1991","144","6.2","Drama"
"A Fei jing juen","1991","94","7.5","Drama"
"A Hunting We Will Go","1932","8","6.3","Animation"
"A Is for Atom","1953","14","6.1","Drama"
"A byl li Karotin","1989","161","3.9","Comedy"
"A cavallo della tigre","1961","104","5.9","Comedy"
"A cavallo della tigre","2002","98","5.3","Comedy"
"A ciascuno il suo","1967","99","6.4","Drama"
"A esli eto lyubov?","1961","102","7.3","Drama"
"A futura memoria: Pier Paolo Pasolini","1986","115","6.6","Documentary"
"A galope tendido","2000","87","5.6","Comedy"
"A la medianoche y media","1999","90","5.9","Drama"
"A los cirujanos se les va la mano","1980","90","5.3","Comedy"
"A los que aman","1998","98","7.3","Drama"
"A mezzanotte va la ronda del piacere","1975","100","5.6","Comedy"
"A mi madre le gustan las mujeres","2002","96","6.3","Comedy"
"A ruota libera","2000","89","3.6","Comedy"
"A sega nakade?","1988","93","7.4","Drama"
"A spasso nel tempo","1996","94","3.5","Comedy"
"A spasso nel tempo: l'avventura continua","1997","95","2.7","Comedy"
"A tu per tu","1984","102","4.5","Comedy"
"A un dios desconocido","1977","104","6.7","Drama"
"A zori zdes tikhie","1972","188","8.6","Action"
"A+ Pollux","2002","90","6.3","Romance"
"A, B, C... Manhattan","1997","90","6.3","Drama"
"A-Ducking They Did Go","1939","17","8","Comedy"
"A-Haunting We Will Go","1942","68","5.6","Comedy"
"A-Haunting We Will Go","1966","6","6","Animation"
"A-Lad-In Bagdad","1938","8","5.6","Animation"
"A-Lad-in His Lamp","1948","7","7.9","Animation"
"A-Tom-inable Snowman, The","1966","6","5","Animation"
"A.B. normal college (Todo na 'yan, kulang pa 'yun)","2003","115","3.8","Comedy"
"A.D.3 operazione squalo bianco","1966","82","1.2","Action"
"A.D.A.M.","1988","98","5.9","Comedy"
"A.K.","1985","71","7.7","Documentary"
"A.K.A. Birdseye","2002","90","5.5","Comedy"
"A.K.A. Don Bonus","1995","65","8.2","Documentary"
"A.N.I. 1240","2003","13","5.9","Short"
"A.W.O.L.","1918","5","5.3","Animation"
"A.k.a. Cassius Clay","1970","85","5.7","Documentary"
"A/R andata+ritorno","2004","86","6","Comedy"
"ABBA: The Movie","1977","96","6.1","Documentary"
"ABC Africa","2001","83","6.5","Documentary"
"ABC of Love and Sex: Australia Style, The","1978","85","3.7","Comedy"
"ABC's of Happiness, The","2001","5","3.3","Animation"
"ABC's of Sex Education for Trainable Persons, The","1975","20","6.6","Documentary"
"ABCD","1999","105","5.4","Drama"
"AFI's 100 Years... 100 Movies: The Antiheroes","1998","60","4","Documentary"
"AKA","2002","123","6","Drama"
"AVP: Alien Vs. Predator","2004","102","5.4","Action"
"Aa Ab Laut Chalen","1999","178","5.5","Drama"
"Aa Gale Lag Jaa","1973","148","8.1","Romance"
"Aa Okkati Adakku","1993","155","8.4","Comedy"
"Aadmi","1968","175","8.2","Romance"
"Aag","1948","138","6.5","Romance"
"Aah","1953","150","6.7","Drama"
"Aakhree Raasta","1986","164","8.2","Action"
"Aaltra","2004","92","6.8","Comedy"
"Aamdani Atthanni Kharcha Rupaiya","2001","150","5.2","Comedy"
"Aan","1952","101","7.1","Romance"
"Aan: Men at Work","2004","149","4.8","Action"
"Aandhi","1975","133","7","Drama"
"Aankhen","1993","170","5.4","Comedy"
"Aankhen","2002","165","6.8","Comedy"
"Aanslag, De","1986","144","7.3","Drama"
"Aanspreker, De","1999","26","6.2","Drama"
"Aap Ki Kasam","1974","","6.6","Drama"
"Aapathbandavudu","1992","173","9.2","Drama"
"Aapo","1994","55","5","Drama"
"Aar Paar","1954","146","7.2","Romance"
"Aardwolf, De","1984","74","2.2","Drama"
"Aaron Cohen's Debt","1999","96","5.6","Drama"
"Aaron Loves Angela","1975","99","5.7","Drama"
"Aashiq","2001","160","3.7","Action"
"Aashiqui","1990","152","5.6","Drama"
"Aashirwad","1968","146","8.6","Drama"
"Aatish","1994","155","8.6","Action"
"Aau chin","1999","93","7.1","Action"
"Aau chin 2","2001","95","5.9","Action"
"Aau dut","1997","81","7.1","Action"
"Ab ins Paradies","2001","90","7.9","Comedy"
"Abajo firmantes, Los","2003","90","6.2","Comedy"
"Abandon","2002","99","4.7","Drama"
"Abandonadas, Las","1945","103","6.2","Drama"
"Abar Aranye","2003","123","5.5","Drama"
"Abashiri Bangaichi","1965","92","5.5","Drama"
"Abba Ganuv","1988","95","5.5","Comedy"
"Abba Ganuv II","1989","85","2.2","Comedy"
"Abba Ganuv III","1991","88","2.1","Drama"
"Abbasso la ricchezza!","1946","90","7","Drama"
"Abbiamo solo fatto l'amore","1998","80","3.9","Comedy"
"Abbott and Costello Go to Mars","1953","81","5.2","Comedy"
"Abbott and Costello Meet Captain Kidd","1952","75","5.3","Comedy"
"Abbott and Costello Meet Dr. Jekyll and Mr. Hyde","1953","80","6","Comedy"
"Abbott and Costello Meet the Invisible Man","1951","86","6.2","Comedy"
"Abbott and Costello Meet the Keystone Kops","1955","85","5.7","Comedy"
"Abbott and Costello Meet the Killer, Boris Karloff","1949","88","6","Comedy"
"Abbott and Costello Meet the Mummy","1955","83","5.7","Comedy"
"Abbott and Costello in Hollywood","1945","85","5.7","Comedy"
"Abbott and Costello in the Foreign Legion","1950","85","5.7","Comedy"
